zipcode,year,unemp_rate,med_income,med_rent,rent_burden,poverty_rate
10461,2023,0.07140025372660957,65023,1741,0.5662438875305623,0.1675797615211086
10462,2023,0.09088744875016533,63460,1711,0.5408418557696528,0.194553726749632
10463,2023,0.08549780175236195,72952,1611,0.5065252430718037,0.19701634613954458
10464,2023,0.10556186152099886,100306,1993,0.6136012364760433,0.05920898666042593
10465,2023,0.07401109718990513,90255,1774,0.49170416197975253,0.1385631486723278
10466,2023,0.09671258247482348,66328,1528,0.5300193243153195,0.19921628805524347
10467,2023,0.10377851297231412,47806,1505,0.5549901559897017,0.2678180722764219
10468,2023,0.12344836635612125,46624,1594,0.6267675609569671,0.26681785750688003
10469,2023,0.0845100168959691,76018,1653,0.561426116838488,0.1514671248500289
10470,2023,0.051920086134705105,81134,1656,0.48224695283518815,0.11137011137011137
10471,2023,0.06881516587677725,108738,1729,0.43828264758497315,0.0614793934681182
10472,2023,0.09504002511379689,43125,1445,0.5791948122129155,0.3145405746763499
10473,2023,0.11681623688893937,50609,1131,0.5239381291431378,0.2405723478113623
10474,2023,0.10197431474027219,41279,1406,0.6013381655979928,0.3145919518616021
10475,2023,0.07173772449131884,62383,1221,0.4878687888198758,0.15432467998564423
11004,2023,0.04915014164305949,109865,1967,0.3474903474903475,0.11654739301884037
11101,2023,0.061752988047808766,116807,2740,0.37692115456703734,0.13742909684270507
11102,2023,0.05675675675675676,102996,2248,0.40407002577090556,0.1233448731218102
11103,2023,0.07605274351339855,92787,2120,0.44388622090875507,0.10270499929188501
11104,2023,0.06253896994637735,84716,1924,0.48360570417403975,0.08779539335925815
11105,2023,0.07940244842051195,100306,2211,0.425530172766724,0.09161397757135795
11106,2023,0.08916868570520714,85573,2032,0.43333757799567046,0.14732660564040564
11109,2023,0.020775069916100678,198773,3501,0.29975936748023374,0.02707092582566324
11201,2023,0.05284234752589183,169285,3207,0.36751696700210623,0.10381320597377
11203,2023,0.0799706913696551,68028,1566,0.5295470726764883,0.16045257903494176
11204,2023,0.07456103385306925,67588,1751,0.5603495691499114,0.2020029884290989
11205,2023,0.08564210875056943,86753,2307,0.48878923766816146,0.26707220532477816
11206,2023,0.08445081139475352,57280,1558,0.5099580363684807,0.3313108159733927
11207,2023,0.10411791179117912,55419,1443,0.514854553201379,0.2726377313562074
11208,2023,0.06918238993710692,59988,1563,0.5176608644631332,0.20100834000848136
11209,2023,0.06306984750275678,92656,1857,0.4327332410114377,0.11303964632464782
11210,2023,0.07658860586140784,83261,1734,0.5055398301657905,0.11213474161196815
11211,2023,0.07496188167070762,105183,2357,0.4095399747573661,0.21198008917119648
11212,2023,0.13823917942342062,40060,1231,0.5829534121669754,0.33709829541533437
11213,2023,0.09955862068965517,62040,1607,0.5182108346814743,0.22313327410686978
11214,2023,0.0703177018928945,64286,1710,0.5215757102411402,0.18883886551524706
11215,2023,0.06048053024026512,180773,2803,0.32436735854421384,0.059763616217291246
11216,2023,0.0676214887826018,95000,2180,0.45050593928728555,0.15920990803517487
11217,2023,0.05323361196656401,158314,2800,0.4003452492267856,0.1014603053798221
11218,2023,0.059786166266637575,95916,1966,0.498670623879305,0.12431037172559531
11219,2023,0.07972760901244255,55685,1678,0.5918953238005852,0.31795363709032776
11220,2023,0.07674004892150323,64201,1688,0.546655616224649,0.23319378917757547
11221,2023,0.08151027207107163,85122,2055,0.4811534646450333,0.21947386478081388
11222,2023,0.07675535720369298,123963,2595,0.36480738122341383,0.09545189787399282
11223,2023,0.08314665580542868,63950,1653,0.5577149587750294,0.19453256920636544
11224,2023,0.1321150899494921,41449,905,0.5548580595661575,0.2824814587867391
